"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Joey Votto","Reds","158","665","531","159","31","1","28","95","92","122","105","6","5","2",".299",".432",".520",".952",".400","1.4","-2.7","4.8","18.9","4314"
"Freddie Freeman","Braves","150","630","532","155","35","3","31","92","93","85","134","9","8","5",".291",".395",".541",".935",".389","2.1","-0.2","4.3","21.5","5361"
"Anthony Rizzo","Cubs","157","658","549","154","33","3","34","97","107","84","98","20","9","5",".280",".391",".536",".927",".389","6.3","-1.2","4.7","25.1","3473"
"Paul Goldschmidt","Diamondbacks","157","658","546","157","34","2","31","101","103","100","147","6","17","6",".288",".400",".528",".927",".386","5.0","1.2","4.3","5.9","9218"
"Rhys Hoskins","Phillies","150","630","544","143","26","3","36","92","111","73","140","7","5","3",".263",".355",".522",".877",".369","1.6","0.1","3.6","49.3","16472"
"Edwin Encarnacion","Indians","155","651","552","142","26","1","36","92","109","89","131","5","2","1",".258",".363",".506",".869",".366","0.0","-2.0","2.7","56.7","2151"
"Carlos Santana","Phillies","140","589","493","127","27","3","27","78","80","88","95","4","5","2",".257",".372",".488",".859",".365","1.3","-0.5","2.8","170.9","2396"
"Cody Bellinger","Dodgers","150","630","553","145","27","3","39","91","110","69","159","3","13","5",".262",".346",".537",".882",".364","3.6","1.1","3.6","25.1","15998"
"Jose Abreu","White Sox","145","609","554","160","32","3","29","77","95","38","115","12","2","1",".289",".346",".515",".860",".359","-2.3","-1.4","2.6","40.7","15676"
"Matt Carpenter","Cardinals","150","630","520","136","33","3","21","90","73","95","131","7","3","3",".261",".380",".455",".835",".359","0.3","-0.4","3.0","184.9","8090"
"Miguel Cabrera","Tigers","150","630","553","158","31","1","26","79","91","68","123","4","1","1",".286",".365",".489",".854",".359","0.4","-4.0","2.4","95.9","1744"
"Brandon Belt","Giants","143","602","509","132","32","4","21","78","77","84","145","4","5","3",".260",".366",".465",".832",".356","8.2","-0.7","3.3","304.1","10264"
"Eric Thames","Brewers","98","410","352","86","18","3","22","57","59","49","118","5","5","3",".246",".345",".498",".843",".354","-1.4","-0.4","1.3","200.1","3711"
"Joey Gallo","Rangers","152","637","541","119","21","3","42","92","100","86","236","6","7","3",".220",".332",".507",".839",".352","0.6","1.5","2.5","111.1","14128"
"Yonder Alonso","Indians","133","560","489","130","26","0","24","72","77","65","120","3","3","1",".266",".354",".469",".823",".349","-1.1","-0.8","1.8","288.7","2530"
"Gregory Bird","Yankees","140","588","509","125","29","1","31","79","92","68","139","5","1","1",".246",".338",".486",".823",".348","-1.9","-0.6","1.9","148.9","14131"
"Justin Smoak","Blue Jays","150","630","552","139","28","1","32","81","95","70","150","4","1","1",".253",".338",".483",".821",".347","1.1","-1.9","2.2","152.9","9054"
"Eric Hosmer","Padres","150","630","564","159","28","2","24","80","87","60","112","2","5","2",".282",".350",".462",".812",".346","-0.2","-0.6","2.1","77.3","3516"
"Justin Bour","Marlins","142","595","527","140","24","0","29","70","93","61","123","2","1","0",".267",".343",".480",".823",".345","-0.1","-1.8","1.7","198.8","9744"
"Lucas Duda","Royals","133","560","481","115","26","0","30","68","80","66","154","8","1","1",".238",".338",".479",".817",".344","0.1","-0.9","1.7","425.9","2502"
"Matt Olson","Athletics","150","630","546","129","28","1","35","84","96","73","170","5","2","1",".236",".329",".485",".814",".344","1.2","-0.2","2.4","124.4","14344"
"Logan Morrison","Twins","142","595","518","130","24","2","28","74","84","67","132","6","4","2",".252",".343",".469",".811",".343","-0.1","-0.6","1.4","289.1","9205"
"Josh Bell","Pirates","142","595","523","142","26","5","20","72","82","63","102","2","4","4",".272",".350",".457",".807",".343","-2.7","-2.3","1.2","185.6","13145"
"Wil Myers","Padres","142","595","521","132","26","3","27","78","82","64","155","4","18","7",".253",".337",".469",".806",".342","0.2","1.2","2.4","66.6","10047"
"Yulieski Gurriel","Astros","130","546","503","144","37","1","19","69","76","30","72","7","3","2",".286",".333",".477",".810",".342","-3.4","-0.4","1.7","225.9","19198"
"Adam Lind","Yankees","2","7","6","2","0","0","0","1","1","1","1","0","0","0",".274",".338",".470",".809",".340","0.0","0.0","0.0","520.4","8027"
"Ryan Zimmerman","Nationals","127","534","484","129","27","1","25","69","86","40","118","3","1","1",".267",".324",".482",".806",".340","-3.6","-0.1","0.9","137.9","4220"
"Hanley Ramirez","Red Sox","82","343","304","81","16","0","14","42","49","33","70","4","3","2",".265",".342",".460",".801",".340","-0.9","-1.0","0.7","326.1","8001"
"Ryan McMahon","Rockies","107","448","406","116","25","3","13","53","55","34","101","2","8","4",".286",".342",".457",".799",".339","2.5","-0.3","0.5","312.3","15112"
"Steve Pearce","Blue Jays","117","490","437","112","25","2","20","59","64","41","98","7","2","1",".256",".329",".461",".789",".336","-2.4","-0.5","1.1","593.8","9957"
"Chris Davis","Orioles","140","588","507","114","20","0","34","79","88","71","207","6","1","1",".225",".325",".468",".792",".335","1.7","0.2","1.6","246.7","9272"
"Joe Mauer","Twins","140","588","513","146","29","2","10","70","63","67","94","3","2","1",".284",".367",".405",".772",".334","3.2","-1.6","1.6","397.3","1857"
"Trey Mancini","Orioles","143","602","554","150","26","4","25","70","80","38","146","5","2","1",".271",".322",".465",".787",".333","-3.4","-0.2","1.4","152.1","15149"
"Jose Martinez","Cardinals","88","368","331","93","17","1","10","43","45","31","67","1","5","2",".282",".344",".435",".778",".333","-1.5","0.1","0.9","259.9","7996"
"Travis Shaw","Brewers","147","616","551","139","30","2","28","77","89","55","144","5","7","2",".253",".323",".463",".786",".332","-0.4","-0.4","2.1","92.4","11982"
"Matt Adams","Nationals","58","245","225","60","13","1","11","28","39","16","58","1","1","1",".265",".315",".472",".786",".328","0.9","-0.2","0.6","477.2","9393"
"Kennys Vargas","Twins","27","112","99","24","4","0","5","14","15","12","32","1","0","0",".240",".322",".445",".767",".327","0.0","-0.1","0.1","628.4","12101"
"Mitch Moreland","Red Sox","83","350","313","80","20","0","13","41","49","29","78","4","0","1",".255",".324",".445",".769",".326","2.7","-0.8","0.7","404.5","3086"
"Luke Voit","Cardinals","38","160","144","38","7","1","5","18","20","12","34","2","1","0",".263",".329",".431",".760",".326","0.2","0.0","0.5","664.5","14811"
